Comments,filename,objectid,originating_system_id,original_file_name,short_filename,sort_index,parentid,admin_notes,title,interviewer,interviewee,date,interview_date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript,creator,collection,focused_event,bio,pdf,temp1,temp2,temp3,
,_Walker_flyer-1.jpg,dg_1780603935,Walker_flyer,,,,,,Walker flyer,,,,,,,,,,,,,,,,,,compound_object,,,,,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603931_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603931_TN.jpg,,,,,,,,,,,
,Walker_diskettes.jpg,dg_1780603929,Walker_diskettes,,,,dg_1780603935,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603929.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603929_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603929_TN.jpg,,,,,,,,,,,
,Walker_diskettes_and_flyer_package.jpg,dg_1780603930,Walker_diskettes_and_flyer_package,,,,dg_1780603935,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603930.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603930_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603930_TN.jpg,,,,,,,,,,,
,Walker_flyer-1.jpg,dg_1780603931,Walker_flyer,,,,dg_1780603935,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603931.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603931_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603931_TN.jpg,,,,,,,,,,,
,Walker_flyer-2.jpg,dg_1780603932,Walker_flyer,,,,dg_1780603935,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603932.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603932_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603932_TN.jpg,,,,,,,,,,,
,Walker_flyer-3.jpg,dg_1780603933,Walker_flyer,,,,dg_1780603935,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603933.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603933_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603933_TN.jpg,,,,,,,,,,,
,walker-lab-1.jpg,dg_1780603934,walker-lab,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603934.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603934_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603934_TN.jpg,,,,,,,,,,,
,15_1.jpg,dg_1780934275,15,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934275.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934275_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934275_TN.jpg,,,,,,,,,,,
,16_0.jpg,dg_1780934276,16,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934276.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934276_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934276_TN.jpg,,,,,,,,,,,
,16_1.jpg,dg_1780934277,16,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934277.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934277_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934277_TN.jpg,,,,,,,,,,,
,17_0_0.jpg,dg_1780934278,17_0,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934278.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934278_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934278_TN.jpg,,,,,,,,,,,
